id,name,Description,image
1,Clingy,"You're a massive people person and you love to help the young, the old, anyone. You love to talk and work in a team. Where there's people, there's you!",https://img.freepik.com/free-vector/young-woman-hug-cuddle-confused-man-show-love-affection-couple-relationship-problems-one-sided-unshared-feeling-husband-think-divorce-breakup-with-wife-flat-vector-illustration_198530-1704.jpg?size=626&ext=jpg&ga=GA1.2.909423103.1651792360
2,Control freak,"You like to be the boss, you like to communicate (read: tell others what to do) - having power gets you off, basically.",https://img.freepik.com/free-vector/control-freak-male-boss-work-office-controlling-employees_1995-59.jpg?w=1060
3,Beastmaster,"You're beast only in name, but really a softie at heart. You love furry animals and you hug trees. You live for the outdoor, and if you could live outdoor all the time, you would. ",https://i.pinimg.com/originals/21/a0/44/21a04411b8db39ab6f6b30bf98d7bea3.jpg
4,Oversharer,"You take 'sharing is caring' to the next level. There's never too much giving - blood, tears, sweat, goods, gift, food. But that's because you care, and that's ok.",https://img.freepik.com/free-vector/charity-doodle-vector-people-donating-things_53876-143486.jpg?t=st=1652442596~exp=1652443196~hmac=5d4bdc936b8d6a8dff22270fab91d2b32c269fe7e6dcaea4d5684cca510f5a44&w=1480
5,Strong silent type,"You don't shy away from tough situations. In fact, you thrive in them. You use your strength to help and save others, make the world a better place.  ",https://img.freepik.com/free-vector/vector-cartoon-illustration-girl-talking-small-talk-chatter-with-man-who-bored-unhappy-couple_253349-2991.jpg?w=1480
6,Workaholic,Your work ethics is second to none. You're highly commited and want to make an impact in all situations: from life and death situation to the most mundane. No task is too little.,https://img.freepik.com/free-vector/office-chaos-vector-illustration_74855-5903.jpg?t=st=1652442996~exp=1652443596~hmac=5a24e66ea2324713831b7d9a4905bdc49d027b30da81aaee78b8da01343f5551&w=1480
7,Artsy-fartsy,You're nifty and crafty. You're good with hands. You live to feel inspired and you live to inspire others. ,https://img.freepik.com/free-vector/artist-painting-his-thoughts-canvas_52683-38064.jpg?w=1480
8,Corporate slave,"Follow the money! Jokes, everything you do here is for free. You give your professional skills to good use. Let them milk you.",https://img.freepik.com/free-vector/professional-burnout-syndrome-illustration_1284-65060.jpg?t=st=1652443316~exp=1652443916~hmac=12f3ca68458d4cf9d0177b4131fafab57792397f47bbb200ccda79b6785a9a11&w=1800
